"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"LipidRegulatingMed"
"14963"	"Nicotinic acid 500mg modified-release tablets"	"Nicotinic acid"	"500mg"	"Modified-release tablet"	"Oral"	"02120500"	"Nicotinic acid"
"15209"	"Crampex tablets (Thornton & Ross Ltd)"	"Nicotinic acid"	"20microgram + 200mg + 20mg"	"Tablet"	"Oral"	"10020202"	"Nicotinic acid"
"15251"	"Pregnacare Capsule (Vitabiotics Ltd)"	"Nicotinic acid"	NA	"Capsule"	"Oral"	"09060750"	"Nicotinic acid"
"15252"	"Crestor 20mg tablets (AstraZeneca UK Ltd)"	"Rosuvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Rosuvastatin"
"15594"	"COLESTIPOL HCl GRA"	"Colestipol"	NA	NA	NA	"00000000"	"Colestipol"
"15940"	"Folic acid with multivitamins and minerals Capsule"	"Nicotinic acid"	NA	"Capsule"	"Oral"	"09060750"	"Nicotinic acid"
"16067"	"Sanatogen gold A to Z Tablet (Roche Consumer Health)"	"Nicotinic acid"	NA	"Tablet"	"Oral"	"09060750"	"Nicotinic acid"
"16186"	"Inegy 10mg/80mg tablets (Merck Sharp & Dohme Ltd)"	"Ezetimibe/Simvastatin"	"80mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Simvastatin"
"17059"	"Inegy 10mg/40mg tablets (Merck Sharp & Dohme Ltd)"	"Ezetimibe/Simvastatin"	"40mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Simvastatin"
"17614"	"Zimbacol XL 400mg tablets (Archimedes Pharma UK Ltd)"	"Bezafibrate"	"400mg"	"Modified-release tablet"	"Oral"	"02120300"	"Bezafibrate"
"17683"	"Lipitor 80mg tablets (Pfizer Ltd)"	"Atorvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Atorvastatin"
"17688"	"Crestor 5mg tablets (AstraZeneca UK Ltd)"	"Rosuvastatin"	"5mg"	"Tablet"	"Oral"	"02120400"	"Rosuvastatin"
"17813"	"Nicotinic acid 100mg Tablet"	"Nicotinic acid"	"100mg"	"Tablet"	"Oral"	"02120500"	"Nicotinic acid"
"17824"	"Nicotinic acid 25mg Tablet"	"Nicotinic acid"	"25mg"	"Tablet"	"Oral"	"02120500"	"Nicotinic acid"
"18081"	"Colestid Orange 5g granules sachets (Pfizer Ltd)"	"Colestipol"	"5gram"	"Granules"	"Oral"	"02120100"	"Colestipol"
"18098"	"Nicotinic acid 375mg + 500mg + 750mg Modified-release tablet"	"Nicotinic acid"	"375mg + 500mg + 750mg"	"Modified-release Tablet"	"Oral"	"02120500"	"Nicotinic acid"
"18126"	"Nicotinic acid 1g modified-release tablets"	"Nicotinic acid"	"1gram"	"Modified-release tablet"	"Oral"	"02120500"	"Nicotinic acid"
"18442"	"Lipobay 400microgram Tablet (Bayer Plc)"	"Cerivastatin"	"400microgram"	"Tablet"	"Oral"	"02120400"	"Cerivastatin"
"19938"	"Colestipol with aspartame granules"	"Colestipol"	NA	"Granules"	"Oral"	"02120100"	"Colestipol"
"20085"	"Sanatogen classic Tablet (Roche Consumer Health)"	"Nicotinic acid"	NA	"Tablet"	"Oral"	"09010101/09060700"	"Nicotinic acid"
"20842"	"Phyllosan Tablet (SSL International Plc)"	"Nicotinic acid"	NA	"Tablet"	"Oral"	"09010101/09060700"	"Nicotinic acid"
"21020"	"Inegy 10mg/20mg tablets (Merck Sharp & Dohme Ltd)"	"Ezetimibe/Simvastatin"	"20mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Simvastatin"
"21296"	"Ascorbic acid with Calcium with Vitamin B complex effervescent tablets"	"Nicotinic acid"	NA	"Effervescent Tablet"	"Oral"	"09050101/09060200"	"Nicotinic acid"
"21924"	"Acetomenapthone 7mg / Nicotinic acid 25mg tablets"	"Nicotinic acid"	"7mg + 25mg"	"Tablets"	"Oral"	"02060400"	"Nicotinic acid"
"22579"	"Zocor 80mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"23153"	"Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd)"	"Bezafibrate"	"400mg"	"Modified-release tablet"	"Oral"	"02120300"	"Bezafibrate"
