"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"8286781000006119"	492	"^ESCTHY828678"	NA	"hyperglycaemia education"	"846641000000100"	"2195481000000119"	31
"8291981000006111"	1	"^ESCTTA829198"	NA	"target blood glucose concentration"	"852611000000104"	"2208231000000114"	31
"8292931000006116"	845	"^ESCTDO829293"	NA	"does monitor blood glucose level before driving"	"853671000000101"	"2210421000000114"	31
"8304721000006119"	2697	"^ESCTBL830472"	NA	"blood glucose level at bedtime"	"873281000000104"	"2255421000000112"	34
"8304741000006114"	1	"^ESCTBE830474"	NA	"bedtime blood sugar level"	"873281000000104"	"2255401000000115"	34
"8304751000006111"	10213	"^ESCTBL830475"	NA	"blood glucose level before evening meal"	"873291000000102"	"2255441000000117"	31
"8304761000006113"	888	"^ESCTBL830476"	NA	"blood glucose level after lunch"	"873301000000103"	"2255461000000116"	31
"8304781000006115"	9840	"^ESCTBL830478"	NA	"blood glucose level after breakfast"	"873321000000107"	"2255501000000116"	31
"8304791000006117"	16235	"^ESCTBL830479"	NA	"blood glucose level before breakfast"	"873331000000109"	"2255521000000113"	31
"8335441000006111"	130	"^ESCTBA833544"	NA	"baseline blood glucose concentration"	"928041000000101"	"2378671000000112"	34
"8382991000006111"	779	"^ESCTUR838299"	NA	"urine dipstick for glucose"	"1003181000000102"	"2612961000000111"	34
"8385771000006115"	4	"^ESCTBL838577"	NA	"blood sugar tolerance"	"1005711000000106"	"2556421000000113"	34
"8412491000006111"	74	"^ESCTBL841249"	NA	"blood sugar method"	"1031451000000106"	"2599441000000116"	34
"11904741000006110"	3	"^ESCT1190474"	NA	"post-prandial blood sugar"	"302788006"	"1227129019"	34
"13927701000006116"	1	"^ESCT1392770"	NA	"hyperglycaemia due to diabetes mellitus"	"822995009"	"3866631013"	31
"13956321000006111"	305	"^ESCT1395632"	NA	"frequency of blood glucose self-monitoring"	"865984006"	"3956365016"	32
"14073071000006111"	25	"^ESCT1407307"	NA	"severe hyperglycaemia due to diabetes mellitus"	"237621004"	"3866616016"	32
"14886231000006115"	273	"^ESCT1488623"	NA	"mean substance concentration of glucose in capillary blood using minimally-invasive continuous glucose monitoring device"	"1464671000000104"	"2970551000000112"	34
