"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"33786"	"L443z00"	34	0	4	0	"other complication of obstetric surgical wound nos"	"February 2009"
"62916"	"L125400"	9	0	0	0	"severe pre-eclampsia with postnatal complication"	"February 2009"
"112461"	"Q03y500"	4	0	0	0	"fetus or neonate affected by instrumental delivery"	"January 2018"
"29434"	"63E3.00"	315	0	11	0	"normal labour"	"February 2009"
"96179"	"L393100"	2	0	0	0	"post-delivery acute renal failure - delivered with p/n prob"	"April 2009"
"106735"	"9mK0.00"	2900	0	0	0	"pertussis vaccination in pregnancy invitation first letter"	"August 2013"
"50704"	"Q113.00"	170	0	0	0	"light for gestational age"	"February 2009"
"32913"	"Z28..00"	14	0	2	0	"obstetric pelvic observation"	"February 2009"
"46250"	"7F05400"	75	0	2	1	"biopsy of placenta nec"	"February 2009"
"3365"	"L142.11"	3565	0	116	0	"premature delivery"	"February 2009"
"23316"	"L140.11"	442	0	56	1	"false labour"	"February 2009"
"70891"	"L126400"	25	0	0	0	"eclampsia with postnatal complication"	"February 2009"
"49478"	"L39X.00"	39	0	0	0	"obstetric death of unspecified cause"	"February 2009"
"55917"	"L443000"	20	0	1	0	"other complication of obstetric surgical wound unspecified"	"February 2009"
"43567"	"L313100"	15	0	0	0	"precipitate labour - delivered"	"February 2009"
"115880"	"L401000"	1	0	0	0	"puerperal salpingitis unspecified"	"November 2021"
"72779"	"L30z.00"	12	0	0	0	"obstructed labour nos"	"February 2009"
"27914"	"62V..00"	960	0	15	0	"delivery place planned"	"February 2009"
"59276"	"L032.00"	48	0	1	0	"ovarian pregnancy"	"February 2009"
"46724"	"Q022200"	15	0	3	0	"fetus or neonate affected by placental insufficiency"	"February 2009"
"65579"	"L415.00"	13	0	0	0	"other phlebitis and thrombosis in pregnancy and puerperium"	"February 2009"
"93143"	"L121.00"	11	0	0	0	"renal hypertension in pregnancy/childbirth/puerperium"	"February 2009"
"54866"	"L030.00"	113	0	1	0	"abdominal pregnancy"	"February 2009"
"38882"	"L123600"	864	0	0	0	"transient hypertension of pregnancy"	"February 2009"
"66219"	"Lyu6000"	11	0	0	0	"[x]other infection of genital tract following delivery"	"February 2009"
"61204"	"L414z00"	58	0	0	0	"postnatal deep vein thrombosis nos"	"February 2009"
"60154"	"L24..00"	15	0	0	0	"pelvic soft tissue abnormality in pregnancy/childbirth/puerp"	"February 2009"
"61995"	"L03yz00"	30	0	1	0	"other ectopic pregnancy nos"	"February 2009"
"67423"	"Z23AG00"	1	0	0	0	"hypertonic lower uterine segment during labour"	"February 2009"
"115581"	"L383000"	1	0	0	0	"toxic reaction to local anaesthesia during pregnancy"	"May 2021"
"105097"	"L250300"	2	0	0	0	"maternal care for suspected cns malformation in fetus"	"October 2012"
"18458"	"Z29..00"	2056	0	7	0	"postnatal examination observations"	"February 2009"
"100596"	"68b3.00"	6	0	0	0	"antenatal screening shows significant disorder"	"August 2010"
"112115"	"L096500"	1	0	0	0	"pyaemic embolism following abortive pregnancy"	"September 2017"
"72736"	"Z246200"	8	0	0	0	"onset of labour first stage"	"February 2009"
"5044"	"13H7.00"	81523	0	15183	2	"unwanted pregnancy"	"February 2009"
"71717"	"L121100"	2	0	0	0	"renal hypertension in pregnancy/childbirth/puerp - delivered"	"February 2009"
"57304"	"Lyu6700"	3	0	1	0	"[x]other specified puerperal complications"	"February 2009"
"34677"	"7F23000"	55	0	1	0	"immed repair obstetric laceration of uterus or cervix uteri"	"February 2009"
"25131"	"Z22AD11"	638	0	15	0	"reported conception - pregnancy"	"February 2009"
"21467"	"L03y200"	3	0	0	0	"membranous pregnancy"	"February 2009"
"72931"	"L450100"	2	0	0	0	"obstetric nipple infection - delivered"	"February 2009"
"52633"	"Q021111"	26	0	0	0	"fetus affected by placental abruption"	"February 2009"
"111897"	"Z255B11"	1	0	0	0	"wants to push in labour"	"June 2017"
"112101"	"L092.00"	1	0	0	0	"pelvic organ or tissue damage following abortive pregnancy"	"September 2017"
"114604"	"L300600"	1	0	0	0	"obstructed labour due to shoulder presentation"	"December 2019"
"113320"	"L267.11"	2	0	0	0	"placental infarct"	"February 2019"
"48304"	"L10z200"	9	0	0	0	"early pregnancy haemorrhage nos - not delivered"	"February 2009"
"112110"	"L094.00"	1	0	0	0	"metabolic disorder following abortive pregnancy"	"September 2017"
"58517"	"L244012"	34	0	4	0	"rectocele affecting obstetric care"	"February 2009"
"29087"	"7F25z00"	42	0	3	0	"obstetric monitoring nos"	"February 2009"
"37693"	"13Hd.00"	513	0	5	0	"teenage pregnancy"	"February 2009"
