"medcode"	"term"	"database"
"305965010"	"asymptomatic bacteriuria in pregnancy - not delivered"	"Aurum"
"305967019"	"asymptomatic bacteriuria in pregnancy nos"	"Aurum"
"305971016"	"genitourinary tract infection in pregnancy unspecified"	"Aurum"
"305972011"	"genitourinary tract infection in pregnancy - delivered"	"Aurum"
"305974012"	"genitourinary tract infection in pregnancy - not delivered"	"Aurum"
"305976014"	"infections of kidney in pregnancy"	"Aurum"
"305977017"	"urinary tract infection following delivery"	"Aurum"
"305978010"	"infections of the genital tract in pregnancy"	"Aurum"
"305985014"	"liver disorder in pregnancy unspecified"	"Aurum"
"305986010"	"liver disorder in pregnancy - delivered"	"Aurum"
"305987018"	"liver disorder in pregnancy - not delivered"	"Aurum"
"305988011"	"liver disorder in pregnancy nos"	"Aurum"
"305989015"	"fatigue during pregnancy unspecified"	"Aurum"
"305990012"	"fatigue during pregnancy - delivered"	"Aurum"
"305992016"	"fatigue during pregnancy - not delivered"	"Aurum"
"305993014"	"fatigue during pregnancy with postnatal complication"	"Aurum"
"305994015"	"fatigue during pregnancy nos"	"Aurum"
"305995019"	"herpes gestationis unspecified"	"Aurum"
"305996018"	"herpes gestationis - delivered"	"Aurum"
"305997010"	"herpes gestationis - delivered with postnatal complication"	"Aurum"
"305998017"	"herpes gestationis - not delivered"	"Aurum"
"305999013"	"herpes gestationis with postnatal complication"	"Aurum"
"306000010"	"herpes gestationis nos"	"Aurum"
"306002019"	"glycosuria during pregnancy"	"Aurum"
"306003012"	"glycosuria during pregnancy unspecified"	"Aurum"
"306004018"	"glycosuria during pregnancy - delivered"	"Aurum"
"306006016"	"glycosuria during pregnancy - not delivered"	"Aurum"
"306007013"	"glycosuria during pregnancy with postnatal complication"	"Aurum"
"306008015"	"glycosuria during pregnancy nos"	"Aurum"
"306013016"	"gestational oedema with proteinuria"	"Aurum"
"306017015"	"other pregnancy complications"	"Aurum"
"306018013"	"other pregnancy complication unspecified"	"Aurum"
"306019017"	"other pregnancy complication - delivered"	"Aurum"
"306021010"	"other pregnancy complication - not delivered"	"Aurum"
"306022015"	"other pregnancy complication with postnatal complication"	"Aurum"
"306024019"	"other pregnancy complication nos"	"Aurum"
"306025018"	"complication of pregnancy, childbirth and/or the puerperium"	"Aurum"
"306026017"	"infective/parasitic disease in preg/childbirth/puerperium"	"Aurum"
"306029012"	"maternal syphilis during pregnancy - baby delivered"	"Aurum"
"306031015"	"maternal syphilis during pregnancy - baby not yet delivered"	"Aurum"
"306038014"	"maternal gonorrhoea during pregnancy - baby delivered"	"Aurum"
"306065019"	"maternal malaria during pregnancy - baby delivered"	"Aurum"
"306067010"	"maternal malaria during pregnancy - baby not yet delivered"	"Aurum"
"306074017"	"maternal rubella during pregnancy - baby delivered"	"Aurum"
"306076015"	"maternal rubella during pregnancy - baby not yet delivered"	"Aurum"
"306087011"	"infections of bladder in pregnancy"	"Aurum"
