"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antihypertensive"
"66162"	"Ramipril 10mg tablets (Teva UK Ltd)"	"Ramipril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Ramipril"
"66172"	"Uard 180XL capsules (Ennogen Healthcare Ltd)"	"Diltiazem"	"180mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"66191"	"Adalat retard 20mg tablets (DE Pharmaceuticals)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"66197"	"Sacubitril 49mg / Valsartan 51mg tablets"	"Valsartan"	"49mg + 51mg"	"Tablet"	"Oral"	"02050502/02050600"	"Valsartan"
"66205"	"Entresto 49mg/51mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Valsartan"	"49mg + 51mg"	"Tablet"	"Oral"	"02050502/02050600"	"Valsartan"
"66236"	"Nifedipine 20mg Modified-release tablet (Kent Pharmaceuticals Ltd)"	"Nifedipine"	"20mg"	"Modified-release Tablet"	"Oral"	"02060200"	"Nifedipine"
"66261"	"Entresto 24mg/26mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Valsartan"	"24mg + 26mg"	"Tablet"	"Oral"	"02050502/02050600"	"Valsartan"
"66329"	"Ramipril oral solution"	"Ramipril"	NA	"Oral solution"	"Oral"	"02050501"	"Ramipril"
"66388"	"Intuniv 3mg modified-release tablets (Shire Pharmaceuticals Ltd)"	"Guanfacine"	"3mg"	"Modified-release tablet"	"Oral"	"02050200"	"Guanfacine"
"66429"	"Intuniv 4mg modified-release tablets (Shire Pharmaceuticals Ltd)"	"Guanfacine"	"4mg"	"Modified-release tablet"	"Oral"	"02050200"	"Guanfacine"
"66430"	"Amlodipine 5mg tablets (Kent Pharmaceuticals Ltd)"	"Amlodipine"	"5mg"	"Tablet"	"Oral"	"02060200"	"Amlodipine"
"66464"	"Nadolol 40mg/5ml oral solution"	"Nadolol"	"8mg/1ml"	"Oral solution"	"Oral"	"02040000"	"Nadolol"
"66468"	"Regaine for Women Once a Day 5% scalp foam (McNeil Products Ltd)"	"Minoxidil"	"50mg/1gram"	"Foam"	"Cutaneous"	"02050100/13090300"	"Minoxidil"
"66517"	"Bendroflumethiazide 1.25mg/5ml oral suspension"	"Bendroflumethiazide"	"250microgram/1ml"	"Oral suspension"	"Oral"	"02020100/09050102"	"Bendroflumethiazide"
"66548"	"Atenolol 50mg tablets (DE Pharmaceuticals)"	"Atenolol"	"50mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"66551"	"Losartan 50mg tablets (Bristol Laboratories Ltd)"	"Losartan"	"50mg"	"Tablet"	"Oral"	"02050502"	"Losartan"
"66555"	"Propranolol 10mg tablets (Boston Healthcare Ltd)"	"Propranolol"	"10mg"	"Tablet"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"66558"	"Lisinopril 5mg tablets (DE Pharmaceuticals)"	"Lisinopril"	"5mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"66574"	"Amlodipine 5mg tablets (Phoenix Healthcare Distribution Ltd)"	"Amlodipine"	"5mg"	"Tablet"	"Oral"	"02060200"	"Amlodipine"
"66597"	"Captopril 10mg/5ml oral suspension"	"Captopril"	"2mg/1ml"	"Oral suspension"	"Oral"	"02050501"	"Captopril"
"66598"	"Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Lupin Healthcare (UK) Ltd)"	"Hydrochlorothiazide/Losartan"	"50mg + 12.5mg"	"Tablet"	"Oral"	"02050504"	"Hydrochlorothiazide/Losartan"
"66622"	"Lisinopril 20mg tablets (DE Pharmaceuticals)"	"Lisinopril"	"20mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"66623"	"Trandolapril 2mg capsules (A A H Pharmaceuticals Ltd)"	"Trandolapril"	"2mg"	"Capsule"	"Oral"	"02050501"	"Trandolapril"
"66624"	"Candesartan 16mg tablets (Sandoz Ltd)"	"Candesartan"	"16mg"	"Tablet"	"Oral"	"02050502"	"Candesartan"
"66635"	"Dilzem XL 180 capsules (DE Pharmaceuticals)"	"Diltiazem"	"180mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"66669"	"Ramipril 10mg capsules (DE Pharmaceuticals)"	"Ramipril"	"10mg"	"Capsule"	"Oral"	"02050501"	"Ramipril"
"66670"	"Metoprolol 100mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Metoprolol"	"100mg"	"Tablet"	"Oral"	"02040000/04070402"	"Metoprolol"
"66701"	"Diltiazem 240mg modified-release capsules (DE Pharmaceuticals)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"66702"	"Sacubitril 24mg / Valsartan 26mg tablets"	"Valsartan"	"24mg + 26mg"	"Tablet"	"Oral"	"02050502/02050600"	"Valsartan"
"66772"	"Lisinopril 2.5mg tablets (Waymade Healthcare Plc)"	"Lisinopril"	"2.5mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"66779"	"Nadolol 30mg/5ml oral suspension"	"Nadolol"	"6mg/1ml"	"Oral suspension"	"Oral"	"02040000"	"Nadolol"
"66817"	"Amlodipine 10mg tablets (Wockhardt UK Ltd)"	"Amlodipine"	"10mg"	"Tablet"	"Oral"	"02060200"	"Amlodipine"
"66829"	"Entresto 97mg/103mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Valsartan"	"97mg + 103mg"	"Tablet"	"Oral"	"02050502/02050600"	"Valsartan"
"66834"	"Uard 240XL capsules (Ennogen Healthcare Ltd)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
