"source_table"	"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"aurum_coronary_revascularisation"	"271083016"	"1094"	"79212"	"7921200"	"autograft replacement of three coronary arteries nec"	"232721002"	"348651013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271084010"	"583"	"79213"	"7921300"	"autograft replacement of four of more coronary arteries nec"	"232722009"	"348654017"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271086012"	"41"	"7921z"	"7921z00"	"other autograft replacement of coronary artery nos"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271087015"	"994"	"7922-1"	"7922.11"	"allograft bypass of coronary artery"	"175021005"	"271087015"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271088013"	"401"	"7922"	"7922.00"	"allograft replacement of coronary artery"	"175021005"	"271087015"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271089017"	"60"	"79220"	"7922000"	"allograft replacement of one coronary artery"	"736971003"	"3525979012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271092018"	"113"	"79221"	"7922100"	"allograft replacement of two coronary arteries"	"736973000"	"3525983012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271093011"	"447"	"79222"	"7922200"	"allograft replacement of three coronary arteries"	"736972005"	"3525981014"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271094017"	"191"	"79223"	"7922300"	"allograft replacement of four or more coronary arteries"	"736970002"	"3525977014"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271095016"	"292"	"7922y"	"7922y00"	"other specified allograft replacement of coronary artery"	"175021005"	"271087015"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271096015"	"152"	"7922z"	"7922z00"	"allograft replacement of coronary artery nos"	"175021005"	"271087015"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271097012"	"276"	"7923-1"	"7923.11"	"prosthetic bypass of coronary artery"	"175029007"	"271097012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271098019"	"271"	"7923"	"7923.00"	"prosthetic replacement of coronary artery"	"175029007"	"271097012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271099010"	"30"	"79230"	"7923000"	"prosthetic replacement of one coronary artery"	"736963002"	"3525947015"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271100019"	"42"	"79231"	"7923100"	"prosthetic replacement of two coronary arteries"	"736965009"	"3525955010"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271101015"	"92"	"79232"	"7923200"	"prosthetic replacement of three coronary arteries"	"736964008"	"3525952013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271102010"	"51"	"79233"	"7923300"	"prosthetic replacement of four or more coronary arteries"	"736962007"	"3525944010"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271103017"	"14"	"7923y"	"7923y00"	"other specified prosthetic replacement of coronary artery"	"175029007"	"271097012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271104011"	"174"	"7923z"	"7923z00"	"prosthetic replacement of coronary artery nos"	"175029007"	"271097012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271105012"	"13231"	"7924"	"7924.00"	"revision of bypass for coronary artery"	"175036008"	"271105012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271106013"	"86"	"79240"	"7924000"	"revision of bypass for one coronary artery"	"175037004"	"271106013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271107016"	"141"	"79241"	"7924100"	"revision of bypass for two coronary arteries"	"175038009"	"271107016"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271108014"	"213"	"79242"	"7924200"	"revision of bypass for three coronary arteries"	"175039001"	"271108014"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271109018"	"64"	"79243"	"7924300"	"revision of bypass for four or more coronary arteries"	"175040004"	"271109018"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271110011"	"5"	"79244"	"7924400"	"revision of connection of thoracic artery to coronary artery"	"175041000"	"271110011"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271111010"	"3"	"79245"	"7924500"	"revision of implantation of thoracic artery into heart"	"175042007"	"271111010"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271112015"	"24"	"7924y"	"7924y00"	"other specified revision of bypass for coronary artery"	"175036008"	"271105012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271113013"	"53"	"7924z"	"7924z00"	"revision of bypass for coronary artery nos"	"175036008"	"271105012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271114019"	"441"	"7925"	"7925.00"	"connection of mammary artery to coronary artery"	"175045009"	"271114019"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271115018"	"56"	"7925-1"	"7925.11"	"creation of bypass from mammary artery to coronary artery"	"175045009"	"271115018"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271126012"	"82"	"79254"	"7925400"	"single implantation of mammary artery into coronary artery"	"175050003"	"271126012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271128013"	"2666"	"7925z"	"7925z00"	"connection of mammary artery to coronary artery nos"	"175045009"	"271114019"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271129017"	"12"	"7926"	"7926.00"	"connection of other thoracic artery to coronary artery"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271132019"	"7"	"79262"	"7926200"	"single anastomosis of thoracic artery to coronary artery nec"	"232719007"	"348647011"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271135017"	"4"	"7926z"	"7926z00"	"connection of other thoracic artery to coronary artery nos"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271136016"	"12299"	"7927"	"7927.00"	"other open operations on coronary artery"	"31413008"	"52509013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271140013"	"30"	"7927y"	"7927y00"	"other specified other open operation on coronary artery"	"31413008"	"52509013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271141012"	"31"	"7927z"	"7927z00"	"other open operation on coronary artery nos"	"31413008"	"52509013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271148018"	"7611"	"7928z"	"7928z00"	"transluminal balloon angioplasty of coronary artery nos"	"11101003"	"19234014"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271149014"	"749"	"7929"	"7929.00"	"other therapeutic transluminal operations on coronary artery"	"31413008"	"52509013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271157012"	"521"	"792A"	"792A.00"	"diagnostic transluminal operations on coronary artery"	"175076003"	"271157012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271160017"	"83"	"792Az"	"792Az00"	"diagnostic transluminal operation on coronary artery nos"	"175076003"	"271157012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271161018"	"703"	"792B"	"792B.00"	"repair of coronary artery nec"	"31413008"	"52509013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271162013"	"1594"	"792B0"	"792B000"	"endarterectomy of coronary artery"	"20738002"	"34888017"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271163015"	"83"	"792By"	"792By00"	"other specified repair of coronary artery"	"31413008"	"52509013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271164014"	"57"	"792Bz"	"792Bz00"	"repair of coronary artery nos"	"31413008"	"52509013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271165010"	"56"	"792C"	"792C.00"	"other replacement of coronary artery"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271166011"	"31"	"792C0"	"792C000"	"replacement of coronary arteries using multiple methods"	"175085003"	"271166011"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271167019"	"37"	"792Cy"	"792Cy00"	"other specified replacement of coronary artery"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271168012"	"123"	"792Cz"	"792Cz00"	"replacement of coronary artery nos"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271169016"	"64614"	"792D"	"792D.00"	"coronary artery bypass graft"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271170015"	"758"	"792Dy"	"792Dy00"	"other specified other bypass of coronary artery"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271171016"	"5475"	"792Dz"	"792Dz00"	"other bypass of coronary artery nos"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271172011"	"1568"	"792y"	"792y.00"	"other specified operations on coronary artery"	"31413008"	"52509013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271173018"	"8962"	"792z"	"792z.00"	"coronary artery operations nos"	"31413008"	"484868016"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"272107018"	"34976"	"7A540"	"7A54000"	"percutaneous balloon angioplasty of artery"	"276861004"	"413186016"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"272295013"	"2568"	"7A6G1"	"7A6G100"	"peroperative angioplasty"	"175882004"	"272295013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"278083012"	"38"	"7K6PD"	"7K6PD00"	"primary open autograft replacement intra-articular ligament"	"179769008"	"278083012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"278087013"	"3"	"7K6PH"	"7K6PH00"	"revision open autograft replacement intra-articular ligament"	"179773006"	"278087013"	"32"	NA	NA	NA	NA	NA	NA	NA
