"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antiplatelet"
"75916"	"Aspirin 100mg/5ml oral suspension"	"Aspirin"	"20mg/1ml"	"Oral suspension"	"Oral"	"02090000/04070100/04070401/10010100"	"Aspirin"
"76174"	"Dipyridamole 50mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)"	"Dipyridamole"	"10mg/1ml"	"Oral suspension"	"Oral"	"02090000"	"Dipyridamole"
"76416"	"Aspirin 300mg tablets (Bristol Laboratories Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"76456"	"Antoin Tablet (Manufacturer unknown)"	"Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"76572"	"Aspirin 300mg suppositories (Martindale Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Suppository"	"Rectal"	"02090000/04070100"	"Aspirin"
"76589"	"Clopidogrel 75mg tablets (Consilient Health Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"77079"	"Dipyridamole 25mg tablets (Waymade Healthcare Plc)"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"77103"	"Dipyridamole 50mg/5ml oral suspension sugar free (Pinewood Healthcare)"	"Dipyridamole"	"10mg/1ml"	"Oral suspension"	"Oral"	"02090000"	"Dipyridamole"
"77265"	"Aspirin 300mg gastro-resistant tablets (DE Pharmaceuticals)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"77428"	"Persantin Retard 200mg capsules (Dowelhurst Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"02090000"	"Dipyridamole"
"77433"	"Aspirin 300mg gastro-resistant tablets (Waymade Healthcare Plc)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"77477"	"Plavix 75mg tablets (Waymade Healthcare Plc)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"77617"	"Clopidogrel 75mg oral powder sachets"	"Clopidogrel"	"75mg"	"Powder"	"Oral"	"02090000"	"Clopidogrel"
"77623"	"Caprin 324mg Modified-release tablet (Pinewood Healthcare)"	"Aspirin"	"324mg"	"Modified-Release Tablet"	"Oral"	"02090000"	"Aspirin"
"78167"	"Dipyridamole 25mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"78623"	"Aspirin 300mg tablets (Mawdsley-Brooks & Company Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"79306"	"Clopidogrel 5mg/5ml oral solution"	"Clopidogrel"	NA	"Oral solution"	"Oral"	"02090000"	"Clopidogrel"
"79364"	"Dipyridamole 25mg Tablet (Approved Prescription Services Ltd)"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"79389"	"Platet 300mg Effervescent tablet (Roche Products Ltd)"	"Aspirin"	"300mg"	"Effervescent Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"79812"	"Aspirin 75mg tablets (Intrapharm Laboratories Ltd)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"80356"	"Boots Aspirin 75mg gastro-resistant tablets (The Boots Company Plc)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
